"PRODUCT_ID","DATE","QNT_IN_STOCK","STORE_ID"
"3349314","24/04/18","  17","DC01"
"3351643","24/06/18","  33","DC01"
"3351643","03/06/18","   8","DC01"
"3349314","06/04/18","  34","DC01"
"3351644","25/05/18","  13","DC01"
"3349314","22/03/18"," 103","DC01"
"3349315","19/03/18","  96","DC01"
"3351643","27/05/18","   5","DC01"
"3349315","27/04/18","  83","DC01"
"3351644","11/06/18","  46","DC01"
"3351645","13/06/18","  29","DC01"
"3352505","15/06/18","  14","DC01"
"3349315","25/03/18"," 156","DC01"
"3349315","10/04/18","  97","DC01"
"3351643","15/06/18","  24","DC01"
"3351645","27/05/18","  13","DC01"
"3352505","05/06/18","   8","DC01"
"3351644","13/06/18","  43","DC01"
"3351645","25/05/18","  19","DC01"
"3351644","20/05/18","  19","DC01"
"3351645","23/06/18","  43","DC01"
"3351645","03/06/18","  40","DC01"
"3351643","05/06/18","   4","DC01"
"3349314","15/04/18","  23","DC01"
"3349315","20/04/18","  85","DC01"
"3349314","29/03/18","  81","DC01"
"3351643","30/06/18","  57","DC01"
"3352503","22/06/18","   2","DC01"
"3351645","07/06/18","  53","DC01"
"3349314","20/04/18","  21","DC01"
"3349314","10/03/18"," 170","DC01"
"3349315","22/05/18","  34","DC01"
"3349315","15/05/18","  58","DC01"
"3351643","18/06/18","  17","DC01"
"3349314","23/04/18","  19","DC01"
"3349314","02/03/18"," 207","DC01"
"3352503","18/06/18","  21","DC01"
"3351645","08/06/18","  47","DC01"
"3351644","22/06/18","  34","DC01"
"3349315","25/04/18","  83","DC01"
"3349315","15/03/18"," 124","DC01"
"3349315","27/03/18"," 151","DC01"
"3351645","20/06/18","  55","DC01"
"3351643","08/06/18","  38","DC01"
"3351645","01/06/18","  47","DC01"
"3351645","25/06/18","  40","DC01"
"3349315","04/04/18"," 111","DC01"
"3349315","03/03/18","  86","DC01"
"3349314","25/04/18","  14","DC01"
"3349314","18/04/18","  23","DC01"
"3351644","28/06/18"," 340","DC01"
"3349314","12/03/18"," 161","DC01"
"3352502","17/06/18","   6","DC01"
"3352502","10/06/18","   1","DC01"
"3351645","21/05/18","   9","DC01"
"3349315","06/05/18","  77","DC01"
"3351645","29/06/18","  69","DC01"
"3351645","11/06/18","  39","DC01"
"3351643","19/05/18","  19","DC01"
"3351643","22/05/18","  17","DC01"
"3351644","30/05/18","  15","DC01"
"3349314","06/03/18"," 186","DC01"
"3349315","01/03/18"," 101","DC01"
"3349314","02/04/18","  49","DC01"
"3349315","17/04/18","  86","DC01"
"3349314","04/04/18","  39","DC01"
"3351643","19/06/18","  17","DC01"
"3349315","14/03/18"," 131","DC01"
"3349314","21/03/18"," 107","DC01"
"3351644","28/05/18","   9","DC01"
"3351643","25/05/18","  10","DC01"
"3349314","22/04/18","  20","DC01"
"3349314","03/05/18","  11","DC01"
"3351644","12/06/18","  45","DC01"
"3352505","24/06/18","   1","DC01"
"3349314","07/04/18","  33","DC01"
"3351645","18/06/18","  12","DC01"
"3351645","21/06/18","  51","DC01"
"3349315","26/04/18","  83","DC01"
"3349315","04/05/18","  80","DC01"
"3349315","05/05/18","  79","DC01"
"3351645","30/06/18","  68","DC01"
"3351645","28/05/18","  13","DC01"
"3349314","23/03/18"," 123","DC01"
"3349315","16/03/18"," 116","DC01"
"3349315","24/04/18","  85","DC01"
"3349315","05/04/18"," 108","DC01"
"3351643","30/05/18","  19","DC01"
"3351645","04/06/18","  37","DC01"
"3351645","17/05/18","  18","DC01"
"3351644","24/05/18","  16","DC01"
"3351644","29/05/18","   6","DC01"
"3352504","18/06/18","   5","DC01"
"3352503","21/06/18","   9","DC01"
"3351643","21/06/18","  41","DC01"
"3349315","16/04/18","  88","DC01"
"3352505","19/06/18","  17","DC01"
"3351645","22/06/18","  44","DC01"
"3349315","08/05/18","  73","DC01"
"3351644","16/05/18","  24","DC01"
"3349314","29/04/18","  13","DC01"
"3349314","05/05/18","   5","DC01"
"3352504","22/06/18","   8","DC01"
"3351643","17/06/18","  18","DC01"
"3349315","18/05/18","  46","DC01"
"3351643","21/05/18","  17","DC01"
"3349315","22/04/18","  85","DC01"
"3349315","26/03/18"," 156","DC01"
"3349315","27/05/18","  17","DC01"
"3349315","28/05/18","  16","DC01"
"3351643","17/05/18","  21","DC01"
"3351644","06/06/18","  55","DC01"
"3349315","03/05/18","  80","DC01"
"3349315","11/04/18","  95","DC01"
"3349314","19/04/18","  23","DC01"
"3351645","12/06/18","  35","DC01"
"3351644","26/06/18","   1","DC01"
"3352502","22/06/18","   9","DC01"
"3351644","14/06/18","  43","DC01"
"3349314","07/03/18"," 181","DC01"
"3349315","29/05/18","  12","DC01"
"3349314","12/04/18","  29","DC01"
"3352504","17/06/18","   6","DC01"
"3351645","24/05/18","  23","DC01"
"3349314","21/04/18","  20","DC01"
"3349315","30/03/18"," 129","DC01"
"3349315","08/04/18"," 103","DC01"
"3349314","10/04/18","  29","DC01"
"3351644","26/05/18","  12","DC01"
"3351643","23/06/18","  36","DC01"
"3351645","30/05/18","  52","DC01"
"3351644","15/06/18","  38","DC01"
"3351643","06/06/18","  44","DC01"
"3351643","31/05/18","  15","DC01"
"3349315","13/03/18"," 137","DC01"
"3349314","27/04/18","  14","DC01"
"3351644","17/06/18","  34","DC01"
"3349315","21/05/18","  39","DC01"
"3351643","10/06/18","  36","DC01"
"3351644","20/06/18","  98","DC01"
"3351643","22/06/18","  38","DC01"
"3349315","24/03/18"," 157","DC01"
"3349315","01/04/18"," 123","DC01"
"3349314","19/03/18"," 125","DC01"
"3349314","01/03/18"," 213","DC01"
"3351645","31/05/18","  47","DC01"
"3351644","08/06/18","  51","DC01"
"3349315","07/05/18","  75","DC01"
"3351643","04/06/18","   6","DC01"
"3349314","09/03/18"," 178","DC01"
"3351644","17/05/18","  24","DC01"
"3349315","28/04/18","  82","DC01"
"3349314","01/05/18","  13","DC01"
"3352502","05/06/18","   7","DC01"
"3349315","13/05/18","  63","DC01"
"3349315","21/04/18","  85","DC01"
"3352506","29/06/18","   4","DC01"
"3351645","15/06/18","  23","DC01"
"3351643","26/06/18","  28","DC01"
"3351643","14/06/18","  28","DC01"
"3349315","11/03/18"," 147","DC01"
"3351644","23/05/18","  18","DC01"
"3351643","24/05/18","  13","DC01"
"3349314","02/05/18","  13","DC01"
"3349315","10/05/18","  69","DC01"
"3349315","07/03/18","  54","DC01"
"3351644","10/06/18","  46","DC01"
"3352503","20/06/18","  22","DC01"
"3351644","07/06/18","  53","DC01"
"3349315","29/04/18","  82","DC01"
"3349315","23/04/18","  85","DC01"
"3351645","19/05/18","  12","DC01"
"3352505","06/06/18","   1","DC01"
"3349314","11/04/18","  29","DC01"
"3349315","12/04/18","  90","DC01"
"3349314","17/03/18"," 136","DC01"
"3349314","08/03/18"," 180","DC01"
"3349315","24/05/18","  27","DC01"
"3349315","26/02/18"," 119","DC01"
"3351643","12/06/18","  34","DC01"
"3349315","20/05/18","  43","DC01"
"3352504","15/06/18","   6","DC01"
"3352503","19/06/18","  24","DC01"
"3351644","01/06/18","   6","DC01"
"3351645","22/05/18","   5","DC01"
"3351645","27/06/18","  72","DC01"
"3349314","16/04/18","  23","DC01"
"3349314","26/02/18"," 229","DC01"
"3351645","05/06/18","  36","DC01"
"3349315","27/02/18"," 116","DC01"
"3351643","29/06/18","  59","DC01"
"3352502","14/06/18","   1","DC01"
"3349314","28/03/18","  95","DC01"
"3351645","17/06/18","  17","DC01"
"3349314","20/03/18"," 118","DC01"
"3349314","30/03/18","  67","DC01"
"3349314","27/02/18"," 224","DC01"
"3349314","28/02/18"," 222","DC01"
"3349315","16/05/18","  53","DC01"
"3351643","26/05/18","   7","DC01"
"3351645","14/06/18","  25","DC01"
"3351644","22/05/18","  19","DC01"
"3349314","13/04/18","  26","DC01"
"3351645","23/05/18","  24","DC01"
"3349314","30/04/18","  13","DC01"
"3349314","08/04/18","  33","DC01"
"3351644","18/05/18","  23","DC01"
"3349315","03/04/18"," 118","DC01"
"3349315","12/05/18","  64","DC01"
"3351643","18/05/18","  19","DC01"
"3351645","29/05/18","  10","DC01"
"3349314","04/03/18"," 199","DC01"
"3349314","01/04/18","  54","DC01"
"3349314","26/04/18","  14","DC01"
"3352505","22/06/18","  11","DC01"
