"PRODUCT_ID","PRODUCT_NAME","LVL1","LVL2","LVL3","LVL4","PRODUCT_LINE"
"     3046357","Tradizione Pizzeria Ristorante pizza with champignons 365g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3046358","Tradizione Pizzeria Ristorante Mozzarella Frozen pizza 335 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.325"
"     3047286","Tradizione Pizzeria Ristorante Specialty Frozen Pizza 330g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.33"
"     3047287","Tradizione Pizzeria Ristorante Salami frozen pizza 320g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.32"
"     3047290","Tradizione Pizzeria Ristorante 4 cheese frozen Pizza 340 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.34"
"     3047303","Tradizione Pizzeria Ristorante Frozen Pizza with Ham 330g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.33"
"     3057069","Tradizione Pizzeria Ristorante Pepperoni Salami frozen Pizza 320g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.32"
"     3059505","Tradizione Pizzeria Guseppe Ham 410g pizza on lush pastry","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3059506","Tradizione Pizzeria Guseppe Salami Pizza 380g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3059507","Tradizione Pizzeria Guseppe Ham and Mushrooms Pizza 425g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3060094","Tradizione Pizzeria Guseppe Pizza Ham (on thin pastry with crispy crust) 320g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.32"
"     3060095","Tradizione Pizzeria Guseppe Pizza Assorti (on thin dough with crispy crust) 325g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.325"
"     3131612","Royal cheese casserole Dolce vanilla  5,5% 350g","Products","Milk Products","Curd Products","Curd Desserts","Royal 0.35"
"     3145048","Royal cheese casserole Dolce with vanilla 5,5% 165g","Products","Milk Products","Curd Products","Curd Desserts","Royal 0.165"
"     3145063","Royal cheese casserole Dolce with pear 5,5% 165g","Products","Milk Products","Curd Products","Curd Desserts","Royal 0.165"
"     3145068","Royal Dolce curd casserole with raisins 5.5% 165g","Products","Milk Products","Curd Products","Curd Desserts","Royal 0.165"
"     3163241","Butique Piccojinis Prosciutto Frozen ham pizza 270 g (9 minis)","Products","Cooked Dishes","Pizza","Frozen Pizza","Butique 0.27"
"     3163251","Butique Piccojinis Tre Formaggi Pizza Three cheeses frozen 270 g (9 minis)","Products","Cooked Dishes","Pizza","Frozen Pizza","Butique 0.27"
"     3175123","Roma pizza base frozen 2 pieces of 160g each","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3255450","Dessert cottage cheese Modern glazed Fueled milk in waffle sugar horn 15%, 60g","Products","Milk Products","Curd Products","Curd Desserts","Modern 0.06"
"     3255521","Dessert cottage cheese Modern glazed with raisins in waffle-sugar horn 15%, 60g","Products","Milk Products","Curd Products","Curd Desserts","Modern 0.06"
"     3258767","Tradizione Pizzeria Ristorante Salami Mozzarella Pesto Frozen Pizza 360g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.36"
"     3259678","Dessert Leo Tolstoy curd glazed with vanilla in milk chocolate in waffle-sugar cone 15% 60 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.06"
"     3259679","Dessert Leo Tolstoy curd glazed with vanilla in dark chocolate in waffle-sugar cone 15% 60 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.06"
"     3268844","Dessert Modern curd Potatoes glazed in waffle horn 15%, 60g","Products","Milk Products","Curd Products","Curd Desserts","Modern 0.06"
"     3276319","Product curd Euro Label dessert Banana-Caramel 5,8%, 140g","Products","Milk Products","Curd Products","Curd Desserts","Euro Label 0.14"
"     3282943","Tradizione Pizzeria Ristorante Frozen Spinach Pizza 390g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3282944","Tradizione Pizzeria Ristorante Pizza Ham and mushrooms frozen 350g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3292538","Cheese Creamy """"Tiramisu"""" airy in chocolate, 15% 55 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3292539","Cheese Creamed """"Chocolate Fondan"""" airy chocolate-covered cheese, 15% 55 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3312034","Dairy product Milky with banana flavor in waffle product 35%, 40g","Products","Milk Products","Curd Products","Curd Desserts","Milky 0.04"
"     3312035","Dairy product Milky with strawberry flavor in waffle 35%, 40g","Products","Milk Products","Curd Products","Curd Desserts","Milky 0.04"
"     3312036","Dairy product Milky vanilla in waffle product 35%, 40g","Products","Milk Products","Curd Products","Curd Desserts","Milky 0.04"
"     3320938","Tradizione Pizzeria Ristorante Pizza Carbonara frozen 340g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.34"
"     3332825","Cake  """"curd matinee"""" 18% 150g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3335669","Euro Label Curd two-layer Cake """"Dolce Milano"""" 5,3% 140g","Products","Milk Products","Curd Products","Curd Desserts","Euro Label 0.14"
"     3335692","Euro Label Curd super breakfast with banana and oatmeal 3.2% 130g","Products","Milk Products","Curd Products","Curd Desserts","Euro Label 0.13"
"     3335693","Euro Label curd super breakfast with oatmeal, curaga and almonds 3.2% 130g","Products","Milk Products","Curd Products","Curd Desserts","Euro Label 0.13"
"     3344115","Frozen Pizza Assortment 265 g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3344116","Frozen ham pizza pizza 260g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3344117","Duo cheese pizza with mozzarella and tomatoes frozen 280g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
